CD1A	GeneExpression	9606.ENSP00000289429
AGTR1	GeneExpression	9606.ENSP00000273430
ADH1A	GeneExpression	9606.ENSP00000209668
SCN3B	GeneExpression	9606.ENSP00000299333
ACES	GeneExpression	9606.ENSP00000303211
TOP1	GeneExpression	9606.ENSP00000354522
SCNNA	GeneExpression	9606.ENSP00000353292
BST1	GeneExpression	9606.ENSP00000265016
GBRD	GeneExpression	9606.ENSP00000367848
6PGD	GeneExpression	9606.ENSP00000270776
ADA2A	GeneExpression	9606.ENSP00000280155
GBRB3	GeneExpression	9606.ENSP00000299267
ASSY	GeneExpression	9606.ENSP00000253004
PTK6	GeneExpression	9606.ENSP00000217185
ACM4	GeneExpression	9606.ENSP00000409378
FSHR	GeneExpression	9606.ENSP00000384708
METH	GeneExpression	9606.ENSP00000355536
NEC2	GeneExpression	9606.ENSP00000262545
PANX1	GeneExpression	9606.ENSP00000227638
HCAR2	GeneExpression	9606.ENSP00000375066
PSB9	GeneExpression	9606.ENSP00000363993
KCMB4	GeneExpression	9606.ENSP00000258111
GHR	GeneExpression	9606.ENSP00000230882
CHK1	GeneExpression	9606.ENSP00000388648
PGH1	GeneExpression	9606.ENSP00000354612
ADA1B	GeneExpression	9606.ENSP00000306662
IBP7	GeneExpression	9606.ENSP00000295666
IMPA1	GeneExpression	9606.ENSP00000408526
ACM2	GeneExpression	9606.ENSP00000319984
FCERA	GeneExpression	9606.ENSP00000357097
CASP3	GeneExpression	9606.ENSP00000311032
KCNQ2	GeneExpression	9606.ENSP00000352035
PLF4	GeneExpression	9606.ENSP00000296029
DCK	GeneExpression	9606.ENSP00000286648
CD4	GeneExpression	9606.ENSP00000011653
ANXA1	GeneExpression	9606.ENSP00000257497
TBB3	GeneExpression	9606.ENSP00000320295
MTOR	GeneExpression	9606.ENSP00000354558
PDE4C	GeneExpression	9606.ENSP00000347689
FCG2A	GeneExpression	9606.ENSP00000271450
DNLI3	GeneExpression	9606.ENSP00000367787
ABCA1	GeneExpression	9606.ENSP00000363868
